%02.11.15 14:00:30
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.0424E+1	0.0000E+0	0.0000E+0	2.0312E+0	0.0000E+0
5.9497E+0	6.6324E+0	0.0000E+0	0.0000E+0	3.6875E+0	0.0000E+0
1.0900E+1	5.6377E+0	0.0000E+0	0.0000E+0	5.3437E+0	0.0000E+0
1.5849E+1	5.5480E+0	0.0000E+0	0.0000E+0	7.0000E+0	0.0000E+0
2.0800E+1	4.7301E+0	0.0000E+0	0.0000E+0	8.6562E+0	0.0000E+0
2.5729E+1	4.2871E+0	0.0000E+0	0.0000E+0	1.0312E+1	0.0000E+0
3.0691E+1	4.1894E+0	0.0000E+0	0.0000E+0	1.1969E+1	0.0000E+0
3.5629E+1	4.1217E+0	0.0000E+0	0.0000E+0	1.3625E+1	0.0000E+0
4.0595E+1	4.0769E+0	0.0000E+0	0.0000E+0	1.5281E+1	0.0000E+0
4.5536E+1	4.3951E+0	0.0000E+0	0.0000E+0	1.6937E+1	0.0000E+0
5.0498E+1	4.2929E+0	0.0000E+0	0.0000E+0	1.8594E+1	0.0000E+0
5.5443E+1	4.2008E+0	0.0000E+0	0.0000E+0	2.0250E+1	0.0000E+0
6.0386E+1	4.1632E+0	0.0000E+0	0.0000E+0	2.1906E+1	0.0000E+0
6.5346E+1	4.0740E+0	0.0000E+0	0.0000E+0	2.3562E+1	0.0000E+0
7.0292E+1	4.1896E+0	0.0000E+0	0.0000E+0	2.5219E+1	0.0000E+0
7.5249E+1	4.1428E+0	0.0000E+0	0.0000E+0	2.6891E+1	0.0000E+0
8.0191E+1	4.1177E+0	0.0000E+0	0.0000E+0	2.8547E+1	0.0000E+0
8.5146E+1	4.1912E+0	0.0000E+0	0.0000E+0	3.0203E+1	0.0000E+0
9.0086E+1	4.0878E+0	0.0000E+0	0.0000E+0	3.1859E+1	0.0000E+0
9.5046E+1	4.3164E+0	0.0000E+0	0.0000E+0	3.3516E+1	0.0000E+0
9.9985E+1	4.2604E+0	0.0000E+0	0.0000E+0	3.5187E+1	0.0000E+0
-2.6238E-5	1.0464E+1	0.0000E+0	0.0000E+0	4.6328E+1	0.0000E+0
