%02.11.15 14:05:53
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	3.1680E-9	2.0753E-9	7.6563E-1	0.0000E+0
5.9500E+0	0.0000E+0	4.5271E-9	3.1872E-9	3.0781E+0	0.0000E+0
1.0900E+1	0.0000E+0	5.5968E-9	3.7672E-9	4.6719E+0	0.0000E+0
1.5850E+1	0.0000E+0	6.3805E-9	4.1757E-9	6.2812E+0	0.0000E+0
2.0800E+1	0.0000E+0	6.8531E-9	4.4482E-9	7.8594E+0	0.0000E+0
2.5750E+1	0.0000E+0	7.1683E-9	4.5882E-9	9.4687E+0	0.0000E+0
3.0700E+1	0.0000E+0	7.4750E-9	4.6497E-9	1.1062E+1	0.0000E+0
3.5650E+1	0.0000E+0	8.1310E-9	4.6637E-9	1.2656E+1	0.0000E+0
4.0600E+1	0.0000E+0	7.5775E-9	4.6548E-9	1.4250E+1	0.0000E+0
4.5550E+1	0.0000E+0	7.8742E-9	4.6753E-9	1.5859E+1	0.0000E+0
5.0500E+1	0.0000E+0	7.8860E-9	4.6787E-9	1.7437E+1	0.0000E+0
5.5450E+1	0.0000E+0	8.5126E-9	4.6932E-9	1.9031E+1	0.0000E+0
6.0400E+1	0.0000E+0	8.8199E-9	4.6994E-9	2.0609E+1	0.0000E+0
6.5350E+1	0.0000E+0	8.8970E-9	4.6846E-9	2.2219E+1	0.0000E+0
7.0300E+1	0.0000E+0	8.9834E-9	4.6851E-9	2.3812E+1	0.0000E+0
7.5250E+1	0.0000E+0	9.3376E-9	4.6835E-9	2.5422E+1	0.0000E+0
8.0200E+1	0.0000E+0	9.1974E-9	4.6958E-9	2.7016E+1	0.0000E+0
8.5150E+1	0.0000E+0	9.0601E-9	4.7032E-9	2.8609E+1	0.0000E+0
9.0100E+1	0.0000E+0	8.6286E-9	4.7012E-9	3.0219E+1	0.0000E+0
9.5050E+1	0.0000E+0	9.7351E-9	4.7023E-9	3.1797E+1	0.0000E+0
1.0000E+2	0.0000E+0	9.6835E-9	4.7118E-9	3.3406E+1	0.0000E+0
0.0000E+0	0.0000E+0	-1.4861E-11	-1.5523E-10	4.4531E+1	0.0000E+0
