%02.11.15 14:41:38
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	1.3281E+1	0.0000E+0	0.0000E+0	2.0312E+0	0.0000E+0
1.0950E+1	9.4909E+0	0.0000E+0	0.0000E+0	4.1875E+0	0.0000E+0
2.0900E+1	8.0594E+0	0.0000E+0	0.0000E+0	6.3594E+0	0.0000E+0
3.0852E+1	7.2618E+0	0.0000E+0	0.0000E+0	8.5156E+0	0.0000E+0
4.0792E+1	6.7771E+0	0.0000E+0	0.0000E+0	1.0672E+1	0.0000E+0
5.0752E+1	6.4013E+0	0.0000E+0	0.0000E+0	1.2844E+1	0.0000E+0
6.0711E+1	6.0608E+0	0.0000E+0	0.0000E+0	1.5000E+1	0.0000E+0
7.0654E+1	5.7791E+0	0.0000E+0	0.0000E+0	1.7156E+1	0.0000E+0
8.0608E+1	5.5987E+0	0.0000E+0	0.0000E+0	1.9312E+1	0.0000E+0
9.0561E+1	5.4592E+0	0.0000E+0	0.0000E+0	2.1484E+1	0.0000E+0
1.0049E+2	5.3100E+0	0.0000E+0	0.0000E+0	2.3656E+1	0.0000E+0
1.1044E+2	5.2485E+0	0.0000E+0	0.0000E+0	2.5812E+1	0.0000E+0
1.2040E+2	5.2027E+0	0.0000E+0	0.0000E+0	2.7969E+1	0.0000E+0
1.3033E+2	5.1915E+0	0.0000E+0	0.0000E+0	3.0141E+1	0.0000E+0
1.4028E+2	5.2168E+0	0.0000E+0	0.0000E+0	3.2297E+1	0.0000E+0
1.5022E+2	5.1976E+0	0.0000E+0	0.0000E+0	3.4453E+1	0.0000E+0
1.6018E+2	5.2166E+0	0.0000E+0	0.0000E+0	3.6609E+1	0.0000E+0
1.7014E+2	5.1888E+0	0.0000E+0	0.0000E+0	3.8766E+1	0.0000E+0
1.8009E+2	5.1922E+0	0.0000E+0	0.0000E+0	4.0937E+1	0.0000E+0
1.9004E+2	5.2588E+0	0.0000E+0	0.0000E+0	4.3094E+1	0.0000E+0
2.0001E+2	5.2511E+0	0.0000E+0	0.0000E+0	4.5250E+1	0.0000E+0
-5.2879E-6	1.5059E+1	0.0000E+0	0.0000E+0	6.6437E+1	0.0000E+0
