%02.11.15 14:47:00
%Voltage(V)	Capacitance(pF)	 TotalCurrent(A)	DiodeCurrent(A)	 Timestamp(s)	Temperature(K)
1.0000E+0	0.0000E+0	1.1528E-9	-6.8344E-10	7.8125E-1	0.0000E+0
1.0950E+1	0.0000E+0	2.4893E-9	-1.6157E-9	4.2969E+0	0.0000E+0
2.0900E+1	0.0000E+0	2.5176E-9	-2.1191E-9	6.3906E+0	0.0000E+0
3.0850E+1	0.0000E+0	3.2048E-9	-2.4950E-9	9.9062E+0	0.0000E+0
4.0800E+1	0.0000E+0	4.5012E-9	-2.7938E-9	1.2016E+1	0.0000E+0
5.0750E+1	0.0000E+0	4.6620E-9	-3.0506E-9	1.4094E+1	0.0000E+0
6.0700E+1	0.0000E+0	5.5233E-9	-3.2554E-9	1.6187E+1	0.0000E+0
7.0650E+1	0.0000E+0	5.2524E-9	-3.4550E-9	1.8297E+1	0.0000E+0
8.0600E+1	0.0000E+0	6.0184E-9	-3.6152E-9	2.0391E+1	0.0000E+0
9.0550E+1	0.0000E+0	6.1772E-9	-3.7729E-9	2.2500E+1	0.0000E+0
1.0050E+2	0.0000E+0	4.8068E-9	-3.9182E-9	2.4594E+1	0.0000E+0
1.1045E+2	0.0000E+0	6.5188E-9	-4.0207E-9	2.6687E+1	0.0000E+0
1.2040E+2	0.0000E+0	6.1905E-9	-4.1095E-9	2.8797E+1	0.0000E+0
1.3035E+2	0.0000E+0	6.1692E-9	-4.1402E-9	3.0891E+1	0.0000E+0
1.4030E+2	0.0000E+0	6.3564E-9	-4.1605E-9	3.3000E+1	0.0000E+0
1.5025E+2	0.0000E+0	7.2426E-9	-4.1626E-9	3.5094E+1	0.0000E+0
1.6020E+2	0.0000E+0	7.1753E-9	-4.1776E-9	3.7187E+1	0.0000E+0
1.7015E+2	0.0000E+0	6.3091E-9	-4.1944E-9	3.9297E+1	0.0000E+0
1.8010E+2	0.0000E+0	6.2827E-9	-4.1904E-9	4.1406E+1	0.0000E+0
1.9005E+2	0.0000E+0	7.5715E-9	-4.1954E-9	4.3500E+1	0.0000E+0
2.0000E+2	0.0000E+0	7.9524E-9	-4.1948E-9	4.5594E+1	0.0000E+0
0.0000E+0	0.0000E+0	-4.7988E-10	-8.9677E-9	6.6687E+1	0.0000E+0
